epoch,batch_idx,loss
1,6,2.5911483764648438
1,13,2.923658847808838
1,20,2.4503438472747803
1,27,2.0611400604248047
1,34,2.476457357406616
1,41,2.0756726264953613
1,48,2.0412685871124268
1,55,2.1269984245300293
1,62,2.0490925312042236
1,69,1.8976666927337646
1,76,2.047820806503296
1,83,2.1634318828582764
1,90,2.1364941596984863
1,97,2.0354983806610107
1,104,2.050128221511841
1,111,1.8419666290283203
1,118,1.8803349733352661
1,125,1.9438209533691406
1,132,1.999582290649414
1,139,1.9735305309295654
1,146,1.8222615718841553
1,153,1.894549012184143
1,160,1.8958622217178345
1,167,1.918275237083435
1,174,1.9634628295898438
1,181,2.0183756351470947
1,188,1.7496286630630493
1,195,1.9723033905029297
1,202,1.8406970500946045
1,209,1.8467884063720703
1,216,1.702949047088623
1,223,1.7616870403289795
1,230,1.6380178928375244
1,237,1.8251111507415771
1,244,1.750252366065979
1,251,1.8849050998687744
1,258,1.6715854406356812
1,265,1.8467023372650146
1,272,1.7352591753005981
1,279,1.6145832538604736
1,286,1.5474746227264404
1,293,1.4616934061050415
1,300,1.5683655738830566
1,307,1.7138322591781616
1,314,1.384692907333374
1,321,1.7173856496810913
1,328,1.481095790863037
1,335,1.5303186178207397
1,342,1.4883227348327637
1,349,1.2523881196975708
1,356,1.5556713342666626
1,363,1.4442147016525269
1,370,1.5139338970184326
1,377,1.4264419078826904
1,384,1.403673529624939
1,391,1.4374425411224365
1,398,1.396507740020752
1,405,1.2835495471954346
1,412,1.4053773880004883
1,419,1.3271095752716064
1,426,1.2484854459762573
1,433,1.3096673488616943
1,440,1.227442979812622
1,447,1.298088788986206
1,454,1.319645643234253
1,461,1.3854286670684814
1,468,1.3646247386932373
1,475,1.485184907913208
1,482,1.2726171016693115
1,489,1.375025749206543
1,496,1.2897462844848633
1,503,1.4368361234664917
1,510,1.292744517326355
1,517,1.1767951250076294
1,524,1.3085947036743164
1,531,1.24819016456604
1,538,1.3579195737838745
1,545,1.2080097198486328
1,552,1.3156508207321167
1,559,1.3318079710006714
1,566,1.2714862823486328
1,573,1.3636420965194702
1,580,1.12486732006073
1,587,1.1642968654632568
1,594,1.289985179901123
1,601,1.1917545795440674
1,608,1.0918960571289062
1,615,1.1329147815704346
1,622,1.031118631362915
1,629,1.0807701349258423
1,636,1.1831110715866089
1,643,1.2011185884475708
1,650,1.162346363067627
1,657,1.0578999519348145
1,664,1.2375990152359009
1,671,1.2761685848236084
1,678,1.1187864542007446
1,685,1.0867946147918701
1,692,1.1457264423370361
1,699,1.107720136642456
1,706,1.1978517770767212
1,713,1.2299809455871582
1,720,1.0123034715652466
1,727,1.1357907056808472
1,734,1.1508033275604248
1,741,1.004523754119873
1,748,1.0038933753967285
1,755,1.143913745880127
1,762,1.0491359233856201
1,769,0.9534357786178589
1,776,0.9785361289978027
1,783,1.0556762218475342
1,790,0.9936777949333191
1,797,1.0478811264038086
1,804,0.9542247653007507
1,811,1.112065315246582
1,818,0.9773721098899841
1,825,1.085891604423523
1,832,1.1539039611816406
1,839,1.011391282081604
1,846,1.0146270990371704
1,853,1.0055460929870605
1,860,0.9655064344406128
1,867,1.0253632068634033
1,874,0.9906747341156006
1,881,1.028063178062439
1,888,0.8939710259437561
1,895,1.039443850517273
1,902,1.0946098566055298
1,909,0.906278133392334
1,916,1.0085276365280151
1,923,0.9106359481811523
1,930,0.9005746245384216
1,937,0.9738702178001404
1,944,0.9545507431030273
1,951,1.0448887348175049
1,958,1.0010802745819092
1,965,0.8369903564453125
1,972,0.8562395572662354
1,979,0.9405125975608826
1,986,0.8851750493049622
1,993,0.9780080914497375
1,1000,0.9271582365036011
