epoch,batch_idx,loss
1,6,2.5309183597564697
1,13,2.5100584030151367
1,20,2.264559745788574
1,27,2.5646307468414307
1,34,2.4378702640533447
1,41,2.4381818771362305
1,48,2.3094356060028076
1,55,2.5912275314331055
1,62,2.176083564758301
1,69,2.330335855484009
1,76,2.3232853412628174
1,83,2.3939270973205566
1,90,2.2533888816833496
1,97,2.2835865020751953
1,104,2.1192221641540527
1,111,2.2407939434051514
1,118,2.2223448753356934
1,125,2.2113218307495117
1,132,2.0274581909179688
1,139,2.343219757080078
1,146,2.2441344261169434
1,153,2.2086663246154785
1,160,2.3077828884124756
1,167,2.0525736808776855
1,174,2.192887306213379
1,181,2.235750675201416
1,188,1.914631962776184
1,195,2.0325679779052734
1,202,2.0150787830352783
1,209,1.9399724006652832
1,216,2.0922138690948486
1,223,2.038792133331299
1,230,2.1402547359466553
1,237,1.9508352279663086
1,244,1.9282937049865723
1,251,1.978278636932373
1,258,1.9148521423339844
1,265,1.9817769527435303
1,272,2.0030293464660645
1,279,2.018531084060669
1,286,1.9778778553009033
1,293,1.9767138957977295
1,300,1.9961965084075928
1,307,2.0818932056427
1,314,1.9520893096923828
1,321,1.9484981298446655
1,328,1.958253026008606
1,335,1.9423513412475586
1,342,1.9039682149887085
1,349,1.8694387674331665
1,356,1.9758636951446533
1,363,1.79990553855896
1,370,1.788088321685791
1,377,1.9068175554275513
1,384,1.698183536529541
1,391,1.932887315750122
1,398,1.8457012176513672
1,405,1.6770614385604858
1,412,1.7539262771606445
1,419,1.7587465047836304
1,426,1.8841485977172852
1,433,1.8590121269226074
1,440,2.0465948581695557
1,447,1.7253961563110352
1,454,1.8778786659240723
1,461,1.8344115018844604
1,468,1.8543457984924316
1,475,1.7696993350982666
1,482,1.515464186668396
1,489,1.7440561056137085
1,496,1.586586594581604
1,503,1.7838757038116455
1,510,1.6330119371414185
1,517,1.6551369428634644
1,524,1.5698992013931274
1,531,1.5014511346817017
1,538,1.3801631927490234
1,545,1.4876387119293213
1,552,1.5094460248947144
1,559,1.6488374471664429
1,566,1.460067868232727
1,573,1.448886513710022
1,580,1.4423145055770874
1,587,1.6902711391448975
1,594,1.5427827835083008
1,601,1.4014322757720947
1,608,1.4596991539001465
1,615,1.574157476425171
1,622,1.3435651063919067
1,629,1.4621871709823608
1,636,1.5218061208724976
1,643,1.4435088634490967
1,650,1.4929794073104858
1,657,1.4760310649871826
1,664,1.3928656578063965
1,671,1.552474021911621
1,678,1.3460395336151123
1,685,1.4801541566848755
1,692,1.2197043895721436
1,699,1.4065735340118408
1,706,1.4306142330169678
1,713,1.4320921897888184
1,720,1.3169598579406738
1,727,1.3468656539916992
1,734,1.3660240173339844
1,741,1.4864038228988647
1,748,1.0995360612869263
1,755,1.3556735515594482
1,762,1.2261710166931152
1,769,1.292506217956543
1,776,1.1834230422973633
1,783,1.3628640174865723
1,790,1.3111168146133423
1,797,1.1687982082366943
