,0,6,12,24,36,48
10m_u_component_of_wind,-0.1580810938451249,-0.1749996738795517,-0.2072562355472781,-0.1534303642284051,-0.171411102084674,-0.1247338471942056
10m_v_component_of_wind,0.2865264219535732,0.3230589820599723,0.310898913912718,0.2996638814978738,0.2761007706264224,0.2820114184508612
10m_wind_speed,0.6220139061967519,0.5992565825707161,0.502096858661809,0.4697381855477238,0.3617549811100602,0.3717102071629451
2m_dewpoint_temperature,0.0,0.0,0.0,0.0,0.0,0.0
2m_temperature,-0.2746614862461465,-0.3008249214823825,-0.3620142885572828,-0.2771320522666093,-0.367052886161084,-0.2810163005982689
above_ground_50,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_100,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_150,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_200,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_250,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_300,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_400,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_500,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_600,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_700,0.0,0.0,0.0,0.0,0.0,0.0
above_ground_850,-0.2858283627323785,-0.2636220521550745,-0.2343000111618567,-0.2187131819270883,-0.1686321781809907,-0.1654486390937138
above_ground_925,-0.4639856236195067,-0.408440000402476,-0.3783216182864953,-0.3521055172626743,-0.2739170574994898,-0.2503819367009698
above_ground_1000,-0.5582039340506209,-0.5302179141422183,-0.4970641324741296,-0.4388490721301095,-0.3771373508744972,-0.340658354433354
ageostrophic_wind_speed,0.0,0.0,0.0,0.0,0.0,0.0
angle_of_sub_gridscale_orography,0.0481399572425275,0.0481399572425275,0.0481399572425275,0.0481399572425275,0.0481399572425275,0.0481399572425275
anisotropy_of_sub_gridscale_orography,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154,-0.0649700336527154
boundary_layer_height,0.3873123766573751,0.4005405674446748,0.0840889315979954,0.3068606127805773,0.0172099542378982,0.2590428894810869
divergence,0.0,0.0,0.0,0.0,0.0,0.0
eddy_kinetic_energy,0.2684464119307032,0.2573824127312027,0.2366797518325258,0.1880185565499363,0.1524889395849924,0.1157005993108279
geopotential_50,-0.3487048073019523,-0.3541028126889555,-0.3551079328616879,-0.3488309863469028,-0.3543064154685653,-0.3463552172704652
geopotential_100,-0.3293880552335327,-0.3351823130095906,-0.3363960055497484,-0.3319991217320556,-0.3362477520731708,-0.3277029253612488
geopotential_150,-0.3065770023139587,-0.3138916314739366,-0.316426538343759,-0.3115488534982465,-0.3177508040840791,-0.3068119740456198
geopotential_200,-0.2985340410988421,-0.3062115792100497,-0.3087424550511448,-0.3031306525131089,-0.3109194539741032,-0.2980546060790247
geopotential_250,-0.2996867339694091,-0.307046751925263,-0.3092292452820742,-0.3028032884813552,-0.3106861856990342,-0.2961875006717895
geopotential_300,-0.3067251591591451,-0.3133198681483148,-0.3147071398804153,-0.3064100847002585,-0.3126000060914463,-0.2955879893373259
geopotential_400,-0.3279947741180801,-0.3326957177170755,-0.3324061406628688,-0.3192920454119018,-0.3223295021889574,-0.3015995205567791
geopotential_500,-0.3599151271563964,-0.3629061093689992,-0.3604077434200803,-0.3394682686298034,-0.3377558312599134,-0.3124606129312576
geopotential_600,-0.3979450561737446,-0.3974500059603206,-0.3922647266317285,-0.3630192710685688,-0.3572172898701907,-0.3271747893508686
geopotential_700,-0.4448462477710667,-0.4403467761360657,-0.4319026719699759,-0.3936603779285779,-0.3824132855508999,-0.3471982745070153
geopotential_850,-0.5418783718144413,-0.5279035975078604,-0.5141560008883698,-0.4576348694745054,-0.4309556658261047,-0.3838898777142166
geopotential_925,-0.5822206301856584,-0.5577796718907918,-0.5375022658102956,-0.4743131420018879,-0.4297617105998536,-0.3805972682087987
geopotential_1000,-0.580818174131228,-0.5431804933893508,-0.5101458370711232,-0.455408410460301,-0.3841235788552273,-0.3418746290609107
geopotential_at_surface,-0.0593428015531043,-0.0593428015531043,-0.0593428015531043,-0.0593428015531043,-0.0593428015531043,-0.0593428015531043
geostrophic_wind_speed_50,0.3352329122170135,0.3298346689658248,0.3206391366922879,0.3105470755130015,0.29811021192683,0.2890672640621342
geostrophic_wind_speed_100,0.3733997396914411,0.3721977381941217,0.3712344350686512,0.3586010648498506,0.3537200641329057,0.3349361699017466
geostrophic_wind_speed_150,0.3531635696974771,0.3513335291231232,0.3478688200255191,0.3307397500880537,0.3149106206472745,0.2869478814882801
geostrophic_wind_speed_200,0.3573287628719669,0.3505999842143907,0.3406531909322367,0.3096410992565893,0.2787123296551362,0.2366129214981892
geostrophic_wind_speed_250,0.367000333719925,0.3598104307818607,0.3423245402197448,0.2995393736732918,0.2578337398848483,0.1981976998318296
geostrophic_wind_speed_300,0.3730681795713731,0.3636544363042158,0.3403814021787887,0.2880340552372135,0.2427116689850692,0.178470409508979
geostrophic_wind_speed_400,0.3449647794098553,0.3332888631760011,0.308423561465611,0.2544049152836432,0.2086311825728788,0.1546812172890331
geostrophic_wind_speed_500,0.3576644953635239,0.3450658466693093,0.3175032688754197,0.2569410010146926,0.2112659528268261,0.1588302533741898
geostrophic_wind_speed_600,0.4052355387891491,0.3912146362527771,0.356028893970428,0.2814326018322773,0.2318082164827775,0.1766450841737188
geostrophic_wind_speed_700,0.4777595657735357,0.4609993743852476,0.4163078793292264,0.3261257914640155,0.2705510808901345,0.2154501626980736
