concept,B_k,mean_activation,var_activation,mean_contribution,y_low (20%),y_high (80%),conditional_effect
0,0.30634576082229614,0.11216513812541962,2.3225749828270636e-05,0.03436131402850151,0.06286927312612534,0.06806152313947678,0.00519225001335144
6,0.2499941885471344,0.11427345871925354,4.266023097443394e-06,0.028567703440785408,0.06482479721307755,0.06680737435817719,0.00198257714509964
4,0.25465601682662964,0.1114998310804367,1.3961938748252578e-05,0.028394103050231934,0.06581470370292664,0.06600350886583328,0.00018880516290664673
2,0.20270849764347076,0.11041167378425598,2.109317392751109e-05,0.022381383925676346,0.06763475388288498,0.06368109583854675,-0.003953658044338226
5,0.22742879390716553,0.007531963288784027,5.06255082655116e-06,0.0017129852203652263,0.062106627970933914,0.06833253800868988,0.006225910037755966
7,0.13485123217105865,3.875274614983937e-06,5.964553850823506e-11,5.225855943535862e-07,0.06641867011785507,0.06568593531847,-0.0007327347993850708
8,0.01939593255519867,1.5958083167788573e-05,1.0214428192156788e-09,3.095219369697588e-07,0.06485043466091156,0.0661364272236824,0.0012859925627708435
1,-0.2634200155735016,0.018274657428264618,1.8418189938529395e-05,-0.004813910461962223,0.06486307829618454,0.06550215184688568,0.0006390735507011414
3,-0.10020937770605087,0.053567953407764435,2.61765526374802e-05,-0.00536801153793931,0.06863781809806824,0.06181897595524788,-0.006818842142820358
9,-0.30987754464149475,0.12890872359275818,6.090299575589597e-05,-0.03994591906666756,0.0671367272734642,0.06262918561697006,-0.004507541656494141
